U23;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
930001;Head of State;Burhanuddin Rabbani;1985;2012;2012;NS;Religious;Very High;U23-1;X
930002;Head of Government;Burhanuddin Rabbani;1985;2012;2012;NS;Zealous2;Very High;U23-1;X
930003;Foreign Minister;Abdul Haq;1985;2012;2012;NS;The Cloak N Dagger Schemer;Very High;U23-2;X
930004;Minister of Armament;Ahmad Shah Massoud;1985;2012;2012;NS;Military Entrepreneur;Very High;U23-3;X
930005;Minister of Security;Abdul Haq;1985;2012;2012;NS;Crime Fighter;Very High;U23-2;X
930006;Head of Military Intelligence;Abdul Haq;1985;2012;2012;NS;Logistics Specialist;Very High;U23-2;X
930007;Chief of Staff;Ahmad Shah Massoud;1985;2012;2012;NS;School of Psychology;Very High;U23-3;X
930008;Chief of Army;Ahmad Shah Massoud;1985;2012;2012;NS;Guns and Butter Doctrine;Very High;U23-3;X
930009;Chief of Navy;Black Shadow;1985;2012;2012;NS;Undistinguished Suit;Very High;unknownminister;X
930010;Chief of Air Force;Black Shadow;1985;2012;2012;NS;Undistinguished Suit;Very High;unknownminister;X
;Replacements;;;;;;;;;X
930011;Head of State;Mullah Mohammed Omar;1985;2012;2012;FA;PowerHungry Demagogue;Very High;U23-4;X
930012;Head of Government;Mullah Mohammad Rabbani;1985;2012;2012;FA;Old General;Very High;U23-5;X
930013;Foreign Minister;Black Shadow;1985;2012;2012;FA;Undistinguished Suit;Very High;unknownminister;X
930014;Minister of Armament;Black Shadow;1985;2012;2012;FA;Undistinguished Suit;Very High;unknownminister;X
930015;Minister of Security;Black Shadow;1985;2012;2012;FA;Undistinguished Suit;Very High;unknownminister;X
930016;Head of Military Intelligence;Black Shadow;1985;2012;2012;FA;Undistinguished Suit;Very High;unknownminister;X
930017;Chief of Staff;Black Shadow;1985;2012;2012;FA;Undistinguished Suit;Very High;unknownminister;X
930018;Chief of Army;Black Shadow;1985;2012;2012;FA;Undistinguished Suit;Very High;unknownminister;X
930019;Chief of Navy;Black Shadow;1985;2012;2012;FA;Undistinguished Suit;Very High;unknownminister;X
930020;Chief of Air Force;Black Shadow;1985;2012;2012;FA;Undistinguished Suit;Very High;unknownminister;X
930021;Head of State;Red Shadow;1985;2012;2012;LE;Undistinguished Suit;Very High;unknownminister;X
930022;Head of Government;Red Shadow;1985;2012;2012;LE;Undistinguished Suit;Very High;unknownminister;X
930023;Foreign Minister;Red Shadow;1985;2012;2012;LE;Undistinguished Suit;Very High;unknownminister;X
930024;Minister of Armament;Red Shadow;1985;2012;2012;LE;Undistinguished Suit;Very High;unknownminister;X
930025;Minister of Security;Red Shadow;1985;2012;2012;LE;Undistinguished Suit;Very High;unknownminister;X
930026;Head of Military Intelligence;Red Shadow;1985;2012;2012;LE;Undistinguished Suit;Very High;unknownminister;X
930027;Chief of Staff;Red Shadow;1985;2012;2012;LE;Undistinguished Suit;Very High;unknownminister;X
930028;Chief of Army;Red Shadow;1985;2012;2012;LE;Undistinguished Suit;Very High;unknownminister;X
930029;Chief of Navy;Red Shadow;1985;2012;2012;LE;Undistinguished Suit;Very High;unknownminister;X
930030;Chief of Air Force;Red Shadow;1985;2012;2012;LE;Undistinguished Suit;Very High;unknownminister;X
