RSI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
750001;Head of State;Armando Cossutta;1985;2012;2012;LE;Barking Buffoon;Very High;RSI1;X
750002;Head of Government;Fausto Bertinotti;1985;2012;2012;LE;Ambitious Union Boss;Very High;RSI2;X
750003;Foreign Minister;Sergio Garavini;1985;2012;2012;LE;Biased Intellectual;Very High;RSI3;X
750004;Minister of Armament;Fausto Bertinotti;1985;2012;2012;LE;Resource Industrialist;Very High;RSI2;X
750005;Minister of Security;Oliviero Diliberto;1985;2012;2012;LE;Silent Lawyer;Very High;RSI4;X
750006;Head of Military Intelligence;Oliviero Diliberto;1985;2012;2012;LE;Political Specialist;Very High;RSI4;X
750007;Chief of Staff;Armando Cossutta;1985;2012;2012;LE;School of Mass Combat;Very High;RSI1;X
750008;Chief of Army;Armando Cossutta;1985;2012;2012;LE;Guns and Butter Doctrine;Very High;RSI1;X
750009;Chief of Navy;Armando Cossutta;1985;2012;2012;LE;Power Projection Doctrine;Very High;RSI1;X
750010;Chief of Air Force;Armando Cossutta;1985;2012;2012;LE;Air Superiority Doctrine;Very High;RSI1;X
;Replacements;;;;;;;;;X
