U89;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1260001;Head of State;HM Elizabeth II;1985;2012;2012;SC;Generic;Very High;UK1;X
1260002;Head of Government;Edward Seaga;1985;2012;2012;SC;Ambitious Union Boss;Very High;U89-1;X
1260003;Foreign Minister;?;1985;2012;2012;SC;Generic;Very High;unknown;X
1260004;Minister of Armament;?;1985;2012;2012;SC;Generic;Very High;unknown;X
1260005;Minister of Security;?;1985;2012;2012;SC;Generic;Very High;unknown;X
1260006;Head of Military Intelligence;?;1985;2012;2012;SC;Generic;Very High;unknown;X
1260007;Chief of Staff;?;1985;2012;2012;SC;Generic;Very High;unknown;X
1260008;Chief of Army;?;1985;2012;2012;SC;Generic;Very High;unknown;X
1260009;Chief of Navy;?;1985;2012;2012;SC;Generic;Very High;unknown;X
1260010;Chief of Air Force;?;1985;2012;2012;SC;Generic;Very High;unknown;X
;Replacements;;;;;;;;;X
