BOS;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
570001;Head of State;Collective Presidency;1985;2012;2012;ML;Weary Stiffneck;Very High;BOS1;X
570002;Head of Government;Council of Ministers;1985;2012;2012;ML;Happy Amateur;Very High;BOS1;X
570003;Foreign Minister;?;1985;2012;2012;ML;Generic;Very High;unknown;X
570004;Minister of Armament;?;1985;2012;2012;ML;Generic;Very High;unknown;X
570005;Minister of Security;?;1985;2012;2012;ML;Generic;Very High;unknown;X
570006;Head of Military Intelligence;?;1985;2012;2012;ML;Generic;Very High;unknown;X
570007;Chief of Staff;?;1985;2012;2012;ML;Generic;Very High;unknown;X
570008;Chief of Army;?;1985;2012;2012;ML;Generic;Very High;unknown;X
570009;Chief of Navy;?;1985;2012;2012;ML;Generic;Very High;unknown;X
570010;Chief of Air Force;?;1985;2012;2012;ML;Generic;Very High;unknown;X
;Replacements;;;;;;;;;X
