U40;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1015001;Head of State;HRM Zayed bin Sultan Al Nahyan;1984;2012;2012;FA;Stern Imperialist;Very High;U40-1;X
1015002;Head of Government;HH Rashid bin Saeed Al Maktoum;1984;2012;2012;FA;Smiling Oilman;Very High;u40-2;X
1015003;Foreign Minister;?;1984;2012;2012;FA;Generic;Very High;unknown;X
1015004;Minister of Armament;?;1984;2012;2012;FA;Generic;Very High;unknown;X
1015005;Minister of Security;?;1984;2012;2012;FA;Generic;Very High;unknown;X
1015006;Head of Military Intelligence;?;1984;2012;2012;FA;Generic;Very High;unknown;X
1015007;Head of Military Intelligence;?;1984;2012;2012;FA;Generic;Very High;unknown;X
1015008;Chief of Staff;?;1984;2012;2012;FA;Generic;Very High;unknown;X
1015009;Chief of Army;?;1984;2012;2012;FA;Generic;Very High;unknown;X
1015010;Chief of Navy;?;1984;2012;2012;FA;Generic;Very High;unknown;X
1015011;Chief of Air Force;?;1984;2012;2012;FA;Generic;Very High;unknown;X
