U05;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;x
840001;Head of State;Mircea Snegur;1985;2012;2012;ML;Pig-headed Isolationist;Very High;U05-1;x
840002;Head of Government;Mircea Druc;1985;2012;2012;PA;Flamboyant Tough Guy;Very High;U05-2;x
840003;Foreign Minister;?;1985;2012;2012;PA;Generic;Very High;unknown;x
840004;Minister of Armament;?;1985;2012;2012;PA;Generic;Very High;unknown;x
840005;Minister of Security;?;1985;2012;2012;PA;Generic;Very High;unknown;x
840006;Head of Military Intelligence;?;1985;2012;2012;PA;Generic;Very High;unknown;x
840007;Chief of Staff;?;1985;2012;2012;PA;Generic;Very High;unknown;x
840008;Chief of Army;?;1985;2012;2012;PA;Generic;Very High;unknown;x
840009;Chief of Navy;?;1985;2012;2012;PA;Generic;Very High;unknown;x
840010;Chief of Air Force;?;1985;2012;2012;PA;Generic;Very High;unknown;x
;Replacements;;;;;;;;;x
