U03;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
830001;Head of State;Junius Richard Jayewardene;1985;2012;2012;SC;Stern Imperialist;Very High;U03-1;X
830002;Head of Government;Junius Richard Jayewardene;1985;2012;2012;SC;Backroom Backstabber;Very High;U03-1;X
830003;Foreign Minister;?;1985;2012;2012;SC;Generic;Very High;unknown;X
830004;Minister of Armament;?;1985;2012;2012;SC;Generic;Very High;unknown;X
830005;Minister of Security;?;1985;2012;2012;SC;Generic;Very High;unknown;X
830006;Head of Military Intelligence;?;1985;2012;2012;SC;Generic;Very High;unknown;X
830007;Chief of Staff;?;1985;2012;2012;SC;Generic;Very High;unknown;X
830008;Chief of Army;?;1985;2012;2012;SC;Generic;Very High;unknown;X
830009;Chief of Navy;?;1985;2012;2012;SC;Generic;Very High;unknown;X
830010;Chief of Air Force;?;1985;2012;2012;SC;Generic;Very High;unknown;X
;Replacements;;;;;;;;;X
830011;Head of State;Chandrika Kumaratunga;1985;2012;2012;SD;Benevolent Gentleman;Very High;U03-2;X
830012;Head of Government;Chandrika Kumaratunga;1985;2012;2012;SD;Ambitious Union Boss;Very High;U03-2;X
