MON;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
300001;Head of State;Jambyn Batmönkh;1985;2012;2012;LE;Weary Stiffneck;Very High;MON1;X
300002;Head of Government;Jambyn Batmönkh;1985;2012;2012;LE;Happy Amateur;Very High;MON1;X
300003;Foreign Minister;?;1985;2012;2012;LE;Generic;Very High;unknown;X
300004;Minister of Armament;?;1985;2012;2012;LE;Generic;Very High;unknown;X
300005;Minister of Security;?;1985;2012;2012;LE;Generic;Very High;unknown;X
300006;Head of Military Intelligence;?;1985;2012;2012;LE;Generic;Very High;unknown;X
300007;Chief of Staff;?;1985;2012;2012;LE;Generic;Very High;unknown;X
300008;Chief of Army;?;1985;2012;2012;LE;Generic;Very High;unknown;X
300009;Chief of Navy;?;1985;2012;2012;LE;Generic;Very High;unknown;X
300010;Chief of Air Force;?;1985;2012;2012;LE;Generic;Very High;unknown;X
;Replacements;;;;;;;;;X
