U25;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
940001;Head of State;Mátyás Szurös;1985;2012;2012;SD;Popular Figurehead;Very High;HUN7;X
940002;Head of Government;Miklós Németh;1985;2012;2012;SD;Naive Optimist;Very High;HUN8;X
940003;Foreign Minister;Géza Jeszenszky;1985;2012;2012;SD;Biased Intellectual;Very High;HUN9;X
940004;Minister of Armament;Ferenc Rabár;1985;2012;2012;SD;Laissez-Faire Capitalist;Very High;HUN10;X
940005;Minister of Security;Balázs Horváth;1985;2012;2012;SD;Silent Lawyer;Very High;HUN11;X
940006;Head of Military Intelligence;Ferenc Kárpáti;1985;2012;2012;SD;Logistics Specialist;Very High;HUN12;X
940007;Chief of Staff;Ferenc Kárpáti;1985;2012;2012;SD;School of Psychology;Very High;HUN12;X
940008;Chief of Army;Ferenc Kárpáti;1985;2012;2012;SD;Guns and Butter Doctrine;Very High;HUN12;X
940009;Chief of Navy;Ferenc Kárpáti;1985;2012;2012;SD;Indirect Approach Doctrine;Very High;HUN12;X
940010;Chief of Air Force;Ferenc Kárpáti;1985;2012;2012;SD;Air Superiority Doctrine;Very High;HUN12;X
940011;Head of State;Árpád Göncz;1985;2012;2012;SL;Popular Figurehead;Very High;HUN15;X
940012;Head of Government;József Antall;1985;2012;2012;SC;Silent Workhorse;Very High;HUN16;X
940013;Head of Government;Árpád Göncz;1985;2012;2012;SL;Flamboyant Tough Guy;Very High;HUN15;X
