SLO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
280001;Head of State;Vladimír Meciar;1985;2012;2012;PA;Autocratic Charmer;Very High;CZE9;X
280002;Head of Government;Jozef Moravcík;1985;2012;2012;ML;Silent Workhorse;Very High;SLO1;X
280003;Foreign Minister;Milan Knažko;1985;2012;2012;SC;Great Compromiser;Very High;SLO2;X
280004;Minister of Armament;Imrich Andrejcák;1985;2012;2012;ML;Military Entrepreneur;Very High;CZE10;X
280005;Minister of Security;Ludovít Hudek;1985;2012;2012;SC;Silent Lawyer;Very High;SLO3;X
280006;Head of Military Intelligence;Jozef Tuchyna;1985;2012;2012;ML;Logistics Specialist;Very High;SLO4;X
280007;Chief of Staff;Július Humaj;1985;2012;2012;ML;School of Manoeuvre;Very High;SLO5;X
280008;Chief of Army;Július Humaj;1985;2012;2012;ML;Guns and Butter Doctrine;Very High;SLO5;X
280009;Chief of Navy;Július Humaj;1985;2012;2012;ML;Decisive Naval Battle Doctrine;Very High;SLO5;X
280010;Chief of Air Force;Július Humaj;1985;2012;2012;ML;Air Superiority Doctrine;Very High;SLO5;X
;Replacements;;;;;;;;;X
