KUR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
680001;Head of State;Jalal Talabani;1984;2012;2012;SD;Benevolent Gentleman;High;KUR1;X
680002;Head of Government;Nawshirwan Mustafa;1984;2012;2012;SD;Silent Workhorse;High;KUR2;X
680003;Foreign Minister;Jalal Talabani;1984;2012;2012;SD;Great Compromiser;High;KUR1;X
680004;Minister of Armament;Jalal Talabani;1984;2012;2012;SD;laissez-faire capitalist;High;KUR1;X
680005;Minister of Security;Jalal Talabani;1984;2012;2012;SD;Crime Fighter;High;KUR1;X
680006;Head of Military Intelligence;Jalal Talabani;1984;2012;2012;SD;Technical Specialist;High;KUR1;X
680007;Chief of Staff;Jalal Talabani;1984;2012;2012;SD;School of Psychology;High;KUR1;X
680008;Chief of Army;Jalal Talabani;1984;2012;2012;SD;Guns and Butter Doctrine;High;KUR1;X
680009;Chief of Navy;Jalal Talabani;1984;2012;2012;SD;Open Seas Doctrine;High;KUR1;X
680010;Chief of Air Force;Jalal Talabani;1984;2012;2012;SD;Naval Aviation Doctrine;High;KUR1;X
680011;Head of State;Massoud Barzani;1984;2012;2012;PA;Autocratic Charmer;High;KUR3;X
680012;Head of Government;Massoud Barzani;1984;2012;2012;PA;Flamboyant Tough Guy;High;KUR3;X
680013;Foreign Minister;Massoud Barzani;1984;2012;2012;PA;Ideological Crusader;High;KUR3;X
680014;Minister of Armament;Massoud Barzani;1984;2012;2012;PA;administrative genius;High;KUR3;X
680015;Minister of Security;Massoud Barzani;1984;2012;2012;PA;silent lawyer;High;KUR3;X
680016;Head of Military Intelligence;Massoud Barzani;1984;2012;2012;PA;Political Specialist;High;KUR3;X
680017;Chief of Staff;Massoud Barzani;1984;2012;2012;PA;School of Psychology;High;KUR3;X
680018;Chief of Army;Massoud Barzani;1984;2012;2012;PA;Guns and Butter Doctrine;High;KUR3;X
680019;Chief of Navy;Massoud Barzani;1984;2012;2012;PA;Open Seas Doctrine;High;KUR3;X
680020;Chief of Air Force;Massoud Barzani;1984;2012;2012;PA;Army Aviation Doctrine;High;KUR3;X
680021;Head of State;Abdullah Öcalan;1984;2012;2012;LE;Die-hard Reformer;High;KUR4;X
680022;Head of Government;Abdullah Öcalan;1984;2012;2012;LE;Flamboyant Tough Guy;High;KUR4;X
680023;Foreign Minister;Abdullah Öcalan;1984;2012;2012;LE;Ideological Crusader;High;KUR4;X
680024;Minister of Armament;Abdullah Öcalan;1984;2012;2012;LE;administrative genius;High;KUR4;X
680025;Minister of Security;Abdullah Öcalan;1984;2012;2012;LE;crime fighter;High;KUR4;X
680026;Head of Military Intelligence;Abdullah Öcalan;1984;2012;2012;LE;Political Specialist;High;KUR4;X
680027;Chief of Staff;Abdullah Öcalan;1984;2012;2012;LE;School of Psychology;High;KUR4;X
680028;Chief of Army;Abdullah Öcalan;1984;2012;2012;LE;Guns and Butter Doctrine;High;KUR4;X
680029;Chief of Navy;Abdullah Öcalan;1984;2012;2012;LE;Open Seas Doctrine;High;KUR4;X
680030;Chief of Air Force;Abdullah Öcalan;1984;2012;2012;LE;Army Aviation Doctrine;High;KUR4;X
