GAB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
655001;Head of State;Omar Bongo;1984;2012;2012;PA;Autocratic Charmer;High;GAB1;X
655002;Head of Government;Léon Mébiame;1984;2012;2012;PA;Political Protege;High;GAB2;X
655003;Foreign Minister;Omar Bongo;1984;2012;2012;PA;Great Compromiser;High;GAB1;X
655004;Minister of Armament;Omar Bongo;1984;2012;2012;PA;Administrative Genius;Medium;GAB1;X
655005;Minister of Security;Omar Bongo;1984;2012;2012;PA;Silent Lawyer;Medium;GAB1;X
655006;Head of Military Intelligence;Omar Bongo;1984;2012;2012;PA;Naval Intelligence Specialist;Medium;GAB1;X
655007;Chief of Staff;Omar Bongo;1984;2012;2012;PA;School of Fire Support;Medium;GAB1;X
655008;Chief of Army;Omar Bongo;1984;2012;2012;PA;Decisive Battle Doctrine;Medium;GAB1;X
655009;Chief of Navy;Omar Bongo;1984;2012;2012;PA;Base Control Doctrine;Medium;GAB1;X
655010;Chief of Air Force;Omar Bongo;1984;2012;2012;PA;Army Aviation Doctrine;Medium;GAB1;X
