CHI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
55001;Head of State;Chiang Ching-kuo;1985;2012;2012;PA;Stern Imperialist;Very High;CHI1;X
55002;Head of Government;Chiang Ching-kuo;1985;2012;2012;PA;Silent Workhorse;Very High;CHI1;X
55003;Foreign Minister;Hsu Li-teh;1985;2012;2012;PA;Great Compromiser;Very High;unknown;X
55004;Minister of Armament;Lu Reng-kong;1985;2012;2012;PA;Administrative Genius;Very High;unknown;X
55005;Minister of Security;Shi Qiyang;1985;2012;2012;PA;Silent Lawyer;Very High;unknown;X
55006;Head of Military Intelligence;Sung Chang-chih;1985;2012;2012;PA;Political Specialist;Very High;unknown;X
55007;Chief of Staff;Hau Pei-tsun;1985;2012;2012;ML;School of Defence;Very High;unknown;X
55008;Chief of Army;Hau Pei-tsun;1985;2012;2012;ML;Static Defence Doctrine;Very High;unknown;X
55009;Chief of Navy;Qian Liu;1985;2012;2012;ML;Indirect Approach Doctrine;Very High;unknown;X
55010;Chief of Air Force;Guo Rulin;1985;2012;2012;ML;Air Superiority Doctrine;Very High;unknown;X
;Replacements;;;;;;;;;X
