DOM;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
320001;Head of State;Salvador Jorge Blanco;1985;2012;2012;SD;Weary Stiffneck;Very High;DOM1;X
320002;Head of Government;Salvador Jorge Blanco;1985;2012;2012;SD;Naive Optimist;Very High;DOM1;X
320003;Foreign Minister;?;1985;2012;2012;SD;Generic;Very High;unknown;X
320004;Minister of Armament;?;1985;2012;2012;SD;Generic;Very High;unknown;X
320005;Minister of Security;?;1985;2012;2012;SD;Generic;Very High;unknown;X
320006;Head of Military Intelligence;?;1985;2012;2012;SD;Generic;Very High;unknown;X
320007;Chief of Staff;?;1985;2012;2012;SD;Generic;Very High;unknown;X
320008;Chief of Army;?;1985;2012;2012;SD;Generic;Very High;unknown;X
320009;Chief of Navy;?;1985;2012;2012;SD;Generic;Very High;unknown;X
320010;Chief of Air Force;?;1985;2012;2012;SD;Generic;Very High;unknown;X
;Replacements;;;;;;;;;X
