U20;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
915001;Head of State;John Paul II;1985;2012;2012;SC;Reputable;Very High;U20-1;X
915002;Head of Government;Paolo Bertoli;1985;2012;2012;SC;Silent Workhorse;Very High;U20-2;X
915003;Foreign Minister;Cardinal;1985;2012;2012;SC;Generic;Very High;unknown;X
915004;Minister of Armament;Paul Casimir Marcinkus;1985;2012;2012;SC;Administrative Genius;Very High;U20-4;X
915005;Minister of Security;Cardinal;1985;2012;2012;SC;Generic;Very High;unknown;X
915006;Head of Military Intelligence;Cardinal;1985;2012;2012;SC;Generic;Very High;unknown;X
915007;Chief of Staff;Cardinal;1985;2012;2012;SC;Generic;Very High;unknown;X
915008;Chief of Army;Cardinal;1985;2012;2012;SC;Generic;Very High;unknown;X
915009;Chief of Navy;Cardinal;1985;2012;2012;SC;Generic;Very High;unknown;X
915010;Chief of Air Force;Cardinal;1985;2012;2012;SC;Generic;Very High;unknown;X
;Replacements;;;;;;;;;X
915011;Head of Government;Sebastiano Baggio;1985;1993;1993;SC;Silent Workhorse;Very High;U20-3;X
915012;Head of Government;Eduardo Martínez Somalo;1992;2007;2007;SC;Silent Workhorse;Very High;U20-5;X
915013;Head of Government;Tarcisio Bertone;2006;2012;2012;SC;Silent Workhorse;Very High;U20-6;X
915014;Head of State;Benedict XVI;2005;2013;2013;SC;Zealous;Very High;U20-7;X
915015;Head of State;Francis;2012;2020;2020;SC;Honest;Very High;U20-8;X
