BUR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
465001;Head of State;San Yu;1985;2012;2012;LWR;Pig-headed Isolationist;Very High;BUR1;X
465002;Head of Government;Maung Maung Kha;1985;2012;2012;LWR;Old General;Very High;BUR2;X
465003;Foreign Minister;San Yu;1985;2012;2012;LWR;General Staffer;Very High;BUR1;X
465004;Minister of Armament;Tun Tin;1985;2012;2012;LWR;Corrupt Kleptocrat;Very High;BUR3;X
465005;Minister of Security;Sein Lwin;1985;2012;2012;LWR;Prince of Terror;Very High;BUR4;X
465006;Head of Military Intelligence;Khin Nyunt;1985;2012;2012;LWR;Political Specialist;Very High;BUR5;X
465007;Chief of Staff;Kyaw Htin;1985;2012;2012;LWR;School of Mass Combat;Very High;unknown;X
465008;Chief of Army;Saw Maung;1985;2012;2012;LWR;Guns and Butter Doctrine;Very High;BUR6;X
465009;Chief of Navy;Thein Nyunt;1985;2012;2012;LWR;Indirect Approach Doctrine;Very High;unknown;X
465010;Chief of Air Force;Thein Win;1985;2012;2012;LWR;Army Aviation Doctrine;Very High;unknown;X
;Replacements;;;;;;;;;X
