U14;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
885001;Head of State;HH Malietoa Tanumafili II;1985;2012;2012;SC;Popular Figurehead;Very High;U14-1;X
885002;Head of Government;Tofilau Eti Alesana;1985;2012;2012;SC;Backroom Backstabber;Very High;U14-2;X
885003;Foreign Minister;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
885004;Minister of Armament;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
885005;Minister of Security;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
885006;Head of Military Intelligence;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
885007;Chief of Staff;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
885008;Chief of Army;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
885009;Chief of Navy;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
885010;Chief of Air Force;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
;Replacements;;;;;;;;;X
