JOR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
370001;Head of State;HM Hussein bin Talal;1984;2012;2012;FA;Pig-headed Isolationist;High;JOR1;X
370002;Head of Government;Zaid al-Rifai;1984;2012;2012;FA;Political Protege;High;JOR2;X
370003;Foreign Minister;Awn Shawkat Al-Khasawneh;1984;2012;2012;PA;Great Compromiser;High;JOR3;X
370004;Minister of Armament;HM Hussein bin Talal;1984;2012;2012;FA;Military Entrepreneur;Medium;JOR1;X
370005;Minister of Security;Bahjat Talhouni;1984;2012;2012;fa;Silent Lawyer;Medium;JOR4;X
370006;Head of Military Intelligence;HM Hussein bin Talal;1984;2012;2012;FA;Political Specialist;Medium;JOR1;X
370007;Chief of Staff;Zaid ibn Shaker;1984;2012;2012;FA;School of Psychology;Medium;JOR5;X
370008;Chief of Army;Zaid ibn Shaker;1984;2012;2012;FA;Guns and Butter Doctrine;Medium;JOR5;X
370009;Chief of Navy;Zaid ibn Shaker;1984;2012;2012;FA;Indirect Approach Doctrine;Medium;JOR5;X
370010;Chief of Air Force;Ihsan Shurdum;1984;2012;2012;FA;Air Superiority Doctrine;Medium;unknown;X
