LIB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
380001;Head of State;Samuel Doe;1984;2012;2012;FA;Ruthless Powermonger;High;LIB1;X
380002;Head of Government;Samuel Doe;1984;2012;2012;FA;Old General;High;LIB1;X
380003;Foreign Minister;Samuel Doe;1984;2012;2012;FA;Ideological Crusader;High;LIB1;X
380004;Minister of Armament;Samuel Doe;1984;2012;2012;FA;Infantry Proponent;High;LIB1;X
380005;Minister of Security;Samuel Doe;1984;2012;2012;FA;Crooked Kleptocrat;High;LIB1;X
380006;Head of Military Intelligence;Samuel Doe;1984;2012;2012;FA;Industrial Specialist;High;LIB1;X
380007;Chief of Staff;Samuel Doe;1984;2012;2012;FA;School of Mass Combat;High;LIB1;X
380008;Chief of Army;Samuel Doe;1984;2012;2012;FA;Guns and Butter Doctrine;High;LIB1;X
380009;Chief of Navy;Samuel Doe;1984;2012;2012;FA;Open Seas Doctrine;High;LIB1;X
380010;Chief of Air Force;Samuel Doe;1984;2012;2012;FA;Air Superiority Doctrine;High;LIB1;X
