GLD;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
660001;Head of State;Jerry Rawlings;1984;2012;2012;PA;Resigned Generalissimo;High;GLD1;X
660002;Head of Government;Jerry Rawlings;1984;2012;2012;PA;Old General;High;GLD1;X
660003;Foreign Minister;Jerry Rawlings;1984;2012;2012;PA;Great Compromiser;High;GLD1;X
660004;Minister of Armament;Jerry Rawlings;1984;2012;2012;PA;Submarine Proponent;High;GLD1;X
660005;Minister of Security;Jerry Rawlings;1984;2012;2012;PA;Man of the People;High;GLD1;X
660006;Head of Military Intelligence;Jerry Rawlings;1984;2012;2012;PA;Logistics Specialist;High;GLD1;X
660007;Chief of Staff;Jerry Rawlings;1984;2012;2012;PA;School of Psychology;High;GLD1;X
660008;Chief of Army;Jerry Rawlings;1984;2012;2012;PA;Elastic Defence Doctrine;High;GLD1;X
660009;Chief of Navy;Jerry Rawlings;1984;2012;2012;PA;Power Projection Doctrine;High;GLD1;X
660010;Chief of Air Force;Jerry Rawlings;1984;2012;2012;PA;Army Aviation Doctrine;High;GLD1;X
