LEB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
375001;Head of State;Amine Gemayel;1984;2012;2012;SC;Weary Stiffneck;High;LEB1;X
375002;Head of Government;Rashid Karami;1984;2012;2012;SD;Ambitious Union Boss;High;LEB2;X
375003;Foreign Minister;Amine Gemayel;1984;2012;2012;SC;General Staffer;High;LEB1;X
375004;Minister of Armament;Rashid Karami;1984;2012;2012;SD;Air to Ground Proponent;Medium;LEB2;X
375005;Minister of Security;Rashid Karami;1984;2012;2012;SD;Prince of Terror;Medium;LEB2;X
375006;Head of Military Intelligence;Amine Gemayel;1984;2012;2012;SC;Technical Specialist;Medium;LEB1;X
375007;Chief of Staff;Amine Gemayel;1984;2012;2012;SC;School of Manoeuvre;Medium;LEB1;X
375008;Chief of Army;Rashid Karami;1984;2012;2012;SD;Decisive Battle Doctrine;Medium;LEB2;X
375009;Chief of Navy;Amine Gemayel;1984;2012;2012;SC;Power Projection Doctrine;Medium;LEB1;X
375010;Chief of Air Force;Rashid Karami;1984;2012;2012;SD;Naval Aviation Doctrine;Medium;LEB2;X
