SIE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
765001;Head of State;Siaka Stevens;1984;2012;2012;FA;Ruthless Powermonger;High;SIE1;X
765002;Head of Government;Siaka Stevens;1984;2012;2012;FA;Ambitious Union Boss;High;SIE1;X
765003;Foreign Minister;Siaka Stevens;1984;2012;2012;FA;Great Compromiser;High;SIE1;X
765004;Minister of Armament;Siaka Stevens;1984;2012;2012;FA;Air Superiority Proponent;High;SIE1;X
765005;Minister of Security;Siaka Stevens;1984;2012;2012;FA;Man of the People;High;SIE1;X
765006;Head of Military Intelligence;Siaka Stevens;1984;2012;2012;FA;Technical Specialist;High;SIE1;X
765007;Chief of Staff;Siaka Stevens;1984;2012;2012;FA;School of Manoeuvre;High;SIE1;X
765008;Chief of Army;Siaka Stevens;1984;2012;2012;FA;Armoured Spearhead Doctrine;High;SIE1;X
765009;Chief of Navy;Siaka Stevens;1984;2012;2012;FA;Open Seas Doctrine;High;SIE1;X
765010;Chief of Air Force;Siaka Stevens;1984;2012;2012;FA;Naval Aviation Doctrine;High;SIE1;X
