U98;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1305001;Head of State;Ellis Clarke;1985;2012;2012;SL;Popular Figurehead;Very High;U98-1;X
1305002;Head of Government;George Michael Chambers;1985;2012;2012;SL;Silent Workhorse;Very High;U98-2;X
1305003;Foreign Minister;?;1985;2012;2012;SL;Generic;Very High;unknown;X
1305004;Minister of Armament;?;1985;2012;2012;SL;Generic;Very High;unknown;X
1305005;Minister of Security;?;1985;2012;2012;SL;Generic;Very High;unknown;X
1305006;Head of Military Intelligence;?;1985;2012;2012;SL;Generic;Very High;unknown;X
1305007;Chief of Staff;?;1985;2012;2012;SL;Generic;Very High;unknown;X
1305008;Chief of Army;?;1985;2012;2012;SL;Generic;Very High;unknown;X
1305009;Chief of Navy;?;1985;2012;2012;SL;Generic;Very High;unknown;X
1305010;Chief of Air Force;?;1985;2012;2012;SL;Generic;Very High;unknown;X
;Replacements;;;;;;;;;X
