CAM;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
580001;Head of State;Paul Biya;1984;2012;2012;PA;Weary Stiffneck;High;CAM1;X
580002;Head of Government;Paul Biya;1984;2012;2012;PA;Backroom Backstabber;High;CAM1;X
580003;Foreign Minister;Paul Biya;1984;2012;2012;PA;Great Compromiser;High;CAM1;X
580004;Minister of Armament;Paul Biya;1984;2012;2012;PA;Corrupt Kleptocrat;High;CAM1;X
580005;Minister of Security;Paul Biya;1984;2012;2012;PA;Back Stabber;High;CAM1;X
580006;Head of Military Intelligence;Paul Biya;1984;2012;2012;PA;Political Specialist;High;CAM1;X
580007;Chief of Staff;Paul Biya;1984;2012;2012;PA;School of Psychology;High;CAM1;X
580008;Chief of Army;Paul Biya;1984;2012;2012;PA;Decisive Battle Doctrine;High;CAM1;X
580009;Chief of Navy;Paul Biya;1984;2012;2012;PA;Indirect Approach Doctrine;High;CAM1;X
580010;Chief of Air Force;Paul Biya;1984;2012;2012;PA;Naval Aviation Doctrine;High;CAM1;X
