MTN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
390001;Head of State;Milo Djukanovic;1985;2012;2012;SD;Autocratic Charmer;Very High;MTN1;X
390002;Head of Government;Filip Vujanovic;1985;2012;2012;SD;Political Protege;Very High;MTN2;X
390003;Foreign Minister;?;1985;2012;2012;SD;Generic;Very High;unknown;X
390004;Minister of Armament;?;1985;2012;2012;SD;Generic;Very High;unknown;X
390005;Minister of Security;?;1985;2012;2012;SD;Generic;Very High;unknown;X
390006;Head of Military Intelligence;?;1985;2012;2012;SD;Generic;Very High;unknown;X
390007;Chief of Staff;?;1985;2012;2012;SD;Generic;Very High;unknown;X
390008;Chief of Army;?;1985;2012;2012;SD;Generic;Very High;unknown;X
390009;Chief of Navy;?;1985;2012;2012;SD;Generic;Very High;unknown;X
390010;Chief of Air Force;?;1985;2012;2012;SD;Generic;Very High;unknown;X
;Replacements;;;;;;;;;X
