BUL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
95001;Head of State;Todor Zhivkov;1985;2012;2012;LE;Autocratic Charmer;High;BUL1;X
95002;Head of Government;Grisha Filipov;1985;2012;2012;LE;Silent Workhorse;High;BUL2;X
95003;Foreign Minister;Petar Mladenov;1985;2012;2012;LE;biased intellectual;High;BUL3;X
95004;Minister of Armament;Belcho Belchev;1985;2012;2012;LE;Administrative Genius;High;BUL4;X
95005;Minister of Security;Dobri Dzhurov;1985;2012;2012;LE;Crime Fighter;High;BUL5;X
95006;Head of Military Intelligence;Grigor Shopov;1985;2012;2012;ST;Dismal Enigma;High;BUL6;X
95007;Chief of Staff;Hristo Lukov;1985;2012;2012;PA;School of Defence;Low;M19007;X
95008;Chief of Army;Todor Georgiev;1985;2012;2012;PA;Static Defence Doctrine;Medium;M19008;X
95009;Chief of Navy;Sava Ivanov;1985;2012;2012;PA;Open Seas Doctrine;Medium;M19009;X
95010;Chief of Air Force;Vasil Boydev;1985;2012;2012;PA;Air Superiority Doctrine;Medium;M19010;X
;Replacements;;;;;;;;;X
95011;Head of State;Petar Mladenov;1985;2012;2012;SD;Weary Stiffneck;High;BUL3;X
95012;Head of Government;Andrey Lukanov;1985;2012;2012;SD;Happy Amateur;High;BUL7;X
95013;Foreign Minister;Andrey Lukanov;1985;2012;2012;SD;Great Compromiser;High;BUL7;X
95014;Head of Government;Georgi Atanasov;1985;2012;2012;LE;Backroom Backstabber;High;BUL8;X
