U99;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1310001;Head of State;Gnassingbé Eyadéma;1984;2012;2012;FA;Ruthless Powermonger;Very High;U99-1;X
1310002;Head of Government;Gnassingbé Eyadéma;1984;2012;2012;FA;Backroom Backstabber;Very High;U99-1;X
1310003;Foreign Minister;Gnassingbé Eyadéma;1984;2012;2012;FA;Undistinguished Suit;Very High;U99-1;X
1310004;Minister of Armament;Gnassingbé Eyadéma;1984;2012;2012;FA;Undistinguished Suit;Very High;U99-1;X
1310005;Minister of Security;Gnassingbé Eyadéma;1984;2012;2012;FA;Undistinguished Suit;Very High;U99-1;X
1310006;Head of Military Intelligence;Gnassingbé Eyadéma;1984;2012;2012;FA;Undistinguished Suit;Very High;U99-1;X
1310007;Chief of Staff;Gnassingbé Eyadéma;1984;2012;2012;FA;Undistinguished Suit;Very High;U99-1;X
1310008;Chief of Army;Gnassingbé Eyadéma;1984;2012;2012;FA;Undistinguished Suit;Very High;U99-1;X
1310009;Chief of Navy;Gnassingbé Eyadéma;1984;2012;2012;FA;Undistinguished Suit;Very High;U99-1;X
1310010;Chief of Air Force;Gnassingbé Eyadéma;1984;2012;2012;FA;Undistinguished Suit;Very High;U99-1;X
