U42;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1025001;Head of State;Hussain Muhammad Ershad;1985;2012;2012;PA;Autocratic Charmer;Very High;U42-1;X
1025002;Head of Government;Hussain Muhammad Ershad;1985;2012;2012;PA;Old General;Very High;U42-1;X
1025003;Foreign Minister;?;1985;2012;2012;PA;Generic;Very High;unknown;X
1025004;Minister of Armament;?;1985;2012;2012;PA;Generic;Very High;unknown;X
1025005;Minister of Security;?;1985;2012;2012;PA;Generic;Very High;unknown;X
1025006;Head of Military Intelligence;?;1985;2012;2012;PA;Generic;Very High;unknown;X
1025007;Chief of Staff;?;1985;2012;2012;PA;Generic;Very High;unknown;X
1025008;Chief of Army;?;1985;2012;2012;PA;Generic;Very High;unknown;X
1025009;Chief of Navy;?;1985;2012;2012;PA;Generic;Very High;unknown;X
1025010;Chief of Air Force;?;1985;2012;2012;PA;Generic;Very High;unknown;X
;Replacements;;;;;;;;;X
