CGX;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
585001;Head of State;Li Jishen;1933;1964;1964;PA;Generic;High;2333;X
585002;Head of Government;Li Zongren;1933;1964;1964;PA;Generic;High;620;X
585003;Foreign Minister;Wang Jingwei;1933;1964;1964;PA;Generic;High;M502003;X
585004;Minister of Armament;Yu Hanmou;1933;1964;1964;PA;Generic;Medium;M502004;X
585005;Minister of Security;Lei Zhong;1933;1964;1964;PA;Generic;Medium;M502005;X
585006;Head of Military Intelligence;Li Jishen;1933;1964;1964;PA;Generic;Medium;2333;X
585007;Chief of Staff;Bai Chongxi;1933;1964;1964;PA;Generic;Medium;M502007;X
585008;Chief of Army;Chen Jitang;1933;1964;1964;PA;Generic;Medium;M502008;X
585009;Chief of Navy;Bai Chongxi;1933;1964;1964;PA;Generic;Medium;M502007;X
585010;Chief of Air Force;Wang Shuming;1933;1964;1964;PA;Generic;Medium;M502010;X
585100;Head of State;Lu Rongting;1886;1925;1929;PA;Generic;High;9544;X
585101;Head of Government;Li Guoyun;1903;1925;1956;PA;Generic;High;9545;X
585102;Foreign Minister;Lu Rongting;1886;1925;1929;PA;Generic;High;9544;X
585103;Minister of Armament;Chen Bingkun;1904;1925;1928;PA;Generic;Medium;9546;X
585104;Minister of Security;Zhu Qinglan;1893;1942;1942;PA;Generic;Medium;9547;X
585105;Head of Military Intelligence;Zhu Qinglan;1893;1942;1942;PA;Generic;Very High;9547;X
585106;Chief of Staff;Lu Rongting;1886;1925;1929;PA;Generic;Medium;9544;X
585107;Chief of Army;Tan Haoming;1893;1925;1926;PA;Generic;Medium;9549;X
585108;Chief of Navy;Lin Baoyi;1894;1928;1931;PA;Generic;High;9550;X
585109;Chief of Air Force;Lu Rongting;1886;1925;1929;PA;Generic;Medium;9544;X
585110;Head of State;Chen Bingkun;1904;1925;1928;PA;Generic;High;9546;X
585111;Head of State;Tan Haoming;1893;1925;1926;PA;Generic;High;9549;X
585112;Head of Government;Zhu Qinglan;1893;1942;1942;PA;Generic;High;9548;X
585113;Foreign Minister;Zhu Qinglan;1893;1942;1942;PA;Generic;High;9548;X
585114;Head of State;Cen Chenxuan;1918;1933;1933;PA;Generic;High;9552;X
585115;Head of Government;Lu Rongting;1886;1925;1929;PA;Generic;High;9544;X
585116;Head of State;Chen Jiongming;1909;1922;1933;PA;Generic;High;9515;X
585117;Head of Government;Ma Junwu;1902;1925;1941;PA;Generic;High;9553;X
