CMB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
590001;Head of State;Heng Samrin;1985;2012;2012;LE;Popular Figurehead;Very High;CMB1;X
590002;Head of Government;Hun Sen;1985;2012;2012;LE;Backroom Backstabber;Very High;CMB2;X
590003;Foreign Minister;?;1985;2012;2012;LE;Generic;Very High;unknown;X
590004;Minister of Armament;?;1985;2012;2012;LE;Generic;Very High;unknown;X
590005;Minister of Security;?;1985;2012;2012;LE;Generic;Very High;unknown;X
590006;Head of Military Intelligence;?;1985;2012;2012;LE;Generic;Very High;unknown;X
590007;Chief of Staff;?;1985;2012;2012;LE;Generic;Very High;unknown;X
590008;Chief of Army;?;1985;2012;2012;LE;Generic;Very High;unknown;X
590009;Chief of Navy;?;1985;2012;2012;LE;Generic;Very High;unknown;X
590010;Chief of Air Force;?;1985;2012;2012;LE;Generic;Very High;unknown;X
;Replacements;;;;;;;;;X
590011;Head of State;HM Norodom Sihanouk;1985;2012;2012;SC;Popular Figurehead;Very High;CMB3;X
590012;Head of Government;?;1985;2012;2012;SC;Generic;Very High;unknown;X
590013;Foreign Minister;?;1985;2012;2012;SC;Generic;Very High;unknown;X
590014;Minister of Armament;?;1985;2012;2012;SC;Generic;Very High;unknown;X
590015;Minister of Security;?;1985;2012;2012;SC;Generic;Very High;unknown;X
590016;Head of Military Intelligence;?;1985;2012;2012;SC;Generic;Very High;unknown;X
590017;Chief of Staff;?;1985;2012;2012;SC;Generic;Very High;unknown;X
590018;Chief of Army;?;1985;2012;2012;SC;Generic;Very High;unknown;X
590019;Chief of Navy;?;1985;2012;2012;SC;Generic;Very High;unknown;X
590020;Chief of Air Force;?;1985;2012;2012;SC;Generic;Very High;unknown;X
