U10;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyality;Picture Name;X
865001;Head of State;HM Elizabeth II of Windsor;1985;2012;2012;SC;Popular Figurehead;Very High;UK1;X
865002;Head of Government;Tomasi Puapua;1985;2012;2012;SC;Backroom Backstabber;Very High;U10-1;X
865003;Foreign Minister;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
865004;Minister of Armament;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
865005;Minister of Security;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
865006;Head of Military Intelligence;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
865007;Chief of Staff;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
865008;Chief of Army;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
865009;Chief of Navy;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
865010;Chief of Air Force;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
;Replacements;;;;;;;;;X
