OTT;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
720001;Head of State;Kiro Gligorov;1985;2012;2012;SD;Pig-headed Isolationist;Very High;OTT1;X
720002;Head of Government;Nikola Kljusev;1985;2012;2012;ML;Silent Workhorse;Very High;OTT2;X
720003;Foreign Minister;Ljubomir Frckoski;1985;2012;2012;ML;Great Compromiser;Very High;OTT3;X
720004;Minister of Armament;Nikola Kljusev;1985;2012;2012;ML;Theoretical Scientist;Very High;OTT2;X
720005;Minister of Security;?;1985;2012;2012;ML;Generic;Very High;unknown;X
720006;Head of Military Intelligence;?;1985;2012;2012;ML;Generic;Very High;unknown;X
720007;Chief of Staff;?;1985;2012;2012;ML;Generic;Very High;unknown;X
720008;Chief of Army;?;1985;2012;2012;ML;Generic;Very High;unknown;X
720009;Chief of Navy;?;1985;2012;2012;ML;Generic;Very High;unknown;X
720010;Chief of Air Force;?;1985;2012;2012;ML;Generic;Very High;unknown;X
