U15;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
890001;Head of State;Hammer DeRoburt;1985;2012;2012;SC;Benevolent Gentleman;Very High;U15-1;X
890002;Head of Government;Hammer DeRoburt;1985;2012;2012;SC;Naive Optimist;Very High;U15-1;X
890003;Foreign Minister;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
890004;Minister of Armament;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
890005;Minister of Security;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
890006;Head of Military Intelligence;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
890007;Chief of Staff;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
890008;Chief of Army;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
890009;Chief of Navy;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
890010;Chief of Air Force;Blue Shadow;1985;2012;2012;SC;Generic;Very High;unknown;X
;Replacements;;;;;;;;;X
