U35;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
990001;Head of State;Marcus Bakker;1985;2012;2012;LE;Die-hard Reformer;High;HOL9;X
990002;Head of Government;Frederik Meis;1985;2012;2012;LE;Ambitious Union Boss;High;HOL10;X
990003;Foreign Minister;Job Pruijser;1985;2012;2012;LE;Ideological Crusader;High;HOL11;X
990004;Minister of Armament;Frederik Meis;1985;2012;2012;LE;Administrative Genius;High;HOL10;X
990005;Minister of Security;Rinze Visser;1985;2012;2012;LE;Man of the People;High;HOL12;X
990006;Head of Military Intelligence;Rinze Visser;1985;2012;2012;LE;Political Specialist;High;HOL12;X
990007;Chief of Staff;Council of National Defence;1985;2012;2012;LE;School of Mass Combat;High;unknown;X
990008;Chief of Army;Council of National Defence;1985;2012;2012;LE;Guns and Butter Doctrine;High;unknown;X
990009;Chief of Navy;Council of National Defence;1985;2012;2012;LE;Indirect Approach Doctrine;High;unknown;X
990010;Chief of Air Force;Council of National Defence;1985;2012;2012;LE;Army Aviation Doctrine;High;unknown;X
