U84;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1235001;Head of State;Hissène Habré;1985;2012;2012;FA;Stern Imperialist;Very High;U84-1;X
1235002;Head of Government;Hissène Habré;1985;2012;2012;FA;Flamboyant Tough Guy;Very High;U84-1;X
1235003;Foreign Minister;Hissène Habré;1985;2012;2012;FA;Iron Fisted Brute;Very High;U84-1;X
1235004;Minister of Armament;Hissène Habré;1985;2012;2012;FA;Infantry Proponent;Very High;U84-1;X
1235005;Minister of Security;Hissène Habré;1985;2012;2012;FA;Back Stabber;Very High;U84-1;X
1235006;Head of Military Intelligence;Hissène Habré;1985;2012;2012;FA;Logistics Specialist;Very High;U84-1;X
1235007;Chief of Staff;Hissène Habré;1985;2012;2012;FA;School of Mass Combat;Very High;U84-1;X
1235008;Chief of Army;Hissène Habré;1985;2012;2012;FA;Guns and Butter Doctrine;Very High;U84-1;X
1235009;Chief of Navy;Hissène Habré;1985;2012;2012;FA;Base Control Doctrine;Very High;U84-1;X
1235010;Chief of Air Force;Hissène Habré;1985;2012;2012;FA;Carpet Bombing Doctrine;Very High;U84-1;X
;Replacements;;;;;;;;;X
1235011;Head of State;Goukouni Oueddei;1985;2012;2012;LWR;Weary Stiffneck;Very High;U84-2;X
1235012;Head of Government;Goukouni Oueddei;1985;2012;2012;LWR;Naive Optimist;Very High;U84-2;X
1235013;Foreign Minister;Goukouni Oueddei;1985;2012;2012;LWR;Great Compromiser;Very High;U84-2;X
1235014;Minister of Armament;Goukouni Oueddei;1985;2012;2012;LWR;Infantry Proponent;Very High;U84-2;X
1235015;Minister of Security;Goukouni Oueddei;1985;2012;2012;LWR;Crime Fighter;Very High;U84-2;X
1235016;Head of Military Intelligence;Goukouni Oueddei;1985;2012;2012;LWR;Logistics Specialist;Very High;U84-2;X
1235017;Chief of Staff;Goukouni Oueddei;1985;2012;2012;LWR;School of Fire Support;Very High;U84-2;X
1235018;Chief of Army;Goukouni Oueddei;1985;2012;2012;LWR;Static Defence Doctrine;Very High;U84-2;X
1235019;Chief of Navy;Goukouni Oueddei;1985;2012;2012;LWR;Indirect Approach Doctrine;Very High;U84-2;X
1235020;Chief of Air Force;Goukouni Oueddei;1985;2012;2012;LWR;Carpet Bombing Doctrine;Very High;U84-2;X
