AFG;3000027 3000029 3000030 
U28;3000027 3000029 3000030 
ALG;3000027 3000029 3000030 
ARG;3000011 3000012 3000018 3000027 3000028 3000029 3000030 3000031 3000032 3000033
AST;3000011 3000012 3000015 3000018 3000027 3000028 3000029 3000030 3000031 3000032 3000033
AUS;3000011 3000012 3000015 3000016 3000018 3000027 3000028 3000029 3000030 3000031 3000032 3000033
BEL;3000011 3000012 3000018 3000027 3000028 3000029 3000030 3000031 3000032 3000033
BHU;3000027 3000029 3000030 
BOL;3000027 3000028 3000029 3000030 
BRA;3000027 3000028 3000029 3000030 3000031 
BRU;3000027 3000028 3000029 3000030 
U29;3000027 3000028 3000029 3000030 3000031 
BUR;3000027 3000028 3000029 3000030 
CAN;3000011 3000012 3000015 3000018 3000027 3000028 3000029 3000030 3000031 3000032 3000033
CHC;3000027 3000028 3000029 3000030 
CHI;3000027 3000028 3000029 3000030 
CHL;3000011 3000012 3000018 3000027 3000028 3000029 3000030 3000031 3000032 3000033
CMB;3000027 3000028 3000029 3000030 
COL;3000027 3000028 3000029 3000030 
CON;3000027 3000029 3000030 
COS;3000027 3000028 3000029 3000030 3000031 
CUB;3000018 3000027 3000028 3000029 3000030 3000031 3000032 3000033
U31;3000011 3000012 3000015 3000018 3000027 3000028 3000029 3000030 3000031 
DEN;3000011 3000012 3000018 3000027 3000028 3000029 3000030 3000031 3000032 3000033
DOM;3000027 3000028 3000029 3000030 3000031 
DDR;3000011 3000012 3000015 3000016 3000018 3000027 3000028 3000029 3000030 3000031 3000032 3000033
DFR;3000011 3000012 3000015 3000016 3000017 3000018 3000027 3000028 3000029 3000030 3000031 3000032 3000033
ECU;3000027 3000028 3000029 3000030 
EGY;3000027 3000028 3000029 3000030 3000031 
ENG;3000011 3000012 3000015 3000016 3000018 3000027 3000028 3000029 3000030 3000031 3000032 3000033
ETH;3000027 3000029 3000030 
FIN;3000011 3000012 3000018 3000027 3000028 3000029 3000030 3000031 3000032 3000033
FRA;3000011 3000012 3000015 3000016 3000018 3000027 3000028 3000029 3000030 3000031 3000032 3000033
GAB;3000027 3000029 3000030 
GLD;3000027 3000029 3000030 
GRE;3000027 3000028 3000029 3000030 3000031 
U33;3000027 3000028 3000029 3000030 
GUA;3000027 3000028 3000029 3000030 
GUY;3000027 3000028 3000029 3000030 3000031 
HAI;3000027 3000028 3000029 3000030 
HOL;3000011 3000012 3000015 3000016 3000018 3000027 3000028 3000029 3000030 3000031 3000032 3000033
HON;3000027 3000028 3000029 3000030 
U13;3000011 3000012 3000027 3000028 3000029 3000030 3000031 
ICL;3000018 3000027 3000028 3000029 3000030 3000031 
IND;3000027 3000028 3000029 3000030 3000031 
INO;3000027 3000028 3000029 3000030 3000031 
IRE;3000027 3000028 3000029 3000030 
IRQ;3000027 3000028 3000029 3000030 
ISR;3000018 3000027 3000028 3000029 3000030 3000031 3000032 3000033
ITA;3000011 3000012 3000015 3000016 3000027 3000028 3000029 3000030 3000031 3000032 3000033
JAP;3000011 3000012 3000015 3000016 3000018 3000027 3000028 3000029 3000030 3000031 3000032 3000033
JOR;3000027 3000028 3000029 3000030 3000031 
KOR;3000027 3000028 3000029 3000030 
LAO;3000027 3000028 3000029 3000030 
LBY;3000027 3000028 3000029 3000030 
LEB;3000027 3000028 3000029 3000030 
LIB;3000027 3000029 3000030 
LUX;3000011 3000012 3000015 3000018 3000027 3000028 3000029 3000030 3000031 3000032 3000033
MAD;3000027 3000029 3000030 
MAL;3000027 3000029 3000030 
MLY;3000027 3000028 3000029 3000030 3000031 
MEX;3000027 3000028 3000029 3000030 3000031 
MON;3000027 3000029 3000030 
MOR;3000027 3000028 3000029 3000030 
NEP;3000027 3000029 3000030 
NIC;3000027 3000028 3000029 3000030 
NOR;3000011 3000012 3000018 3000027 3000028 3000029 3000030 3000031 3000032 3000033
NZL;3000018 3000027 3000028 3000029 3000030 3000031 3000032 3000033
OMN;3000027 3000029 3000030 
PAK;3000027 3000028 3000029 3000030 3000031 
PAN;3000027 3000028 3000029 3000030 
PAR;3000027 3000028 3000029 3000030 
PER;3000027 3000028 3000029 3000030 3000031 
PHI;3000027 3000028 3000029 3000030 3000031 
U32;3000011 3000012 3000015 3000018 3000027 3000028 3000029 3000030 3000031 
POR;3000027 3000028 3000029 3000030 3000031 
PRK;3000027 3000028 3000029 3000030 
PRU;3000027 3000028 3000029 3000030 
RHO;3000027 3000028 3000029 3000030 
U30;3000027 3000028 3000029 3000030 3000031 
SAF;3000011 3000012 3000015 3000027 3000028 3000029 3000030 3000031 3000032 3000033
SAL;3000027 3000028 3000029 3000030 
