Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Achim Lidsba;630001;DFR;2005;2010;2014;2014;2;4;0;3;2;5;0;FRG_L_Lidsba;2005;2014;2014;x
Andreas Krause;630002;DFR;2004;2008;2012;2014;1;4;0;4;2;5;1;Andreas Krause;2004;2014;2014;x
Anton Steer;630003;DFR;1983;1990;2014;2014;2;4;128;3;2;5;0;FRG_L_Steer;1983;1991;1991;x
Axel Bürgener;630004;DFR;1995;2000;2002;2014;2;4;0;3;2;5;0;FRG_L_Bürgener;1995;2005;2005;x
Axel Schimpf;630005;DFR;2002;2004;2010;2014;1;4;4069;4;3;5;1;FRG_L_Schimpf;2002;2014;2014;x
Axel-Björn Kleppien;630006;DFR;1985;1991;1995;2014;2;6;512;4;3;5;2;unknownleader;1985;1999;1999;x
Bernd Heise;630007;DFR;1993;1997;1999;2014;2;6;4069;4;3;5;1;FRG_L_Heise;1993;2003;2003;x
Bernd Klug;630008;DFR;1983;1986;1990;2014;2;6;128;4;3;5;0;unknownleader;1983;1995;1995;x
Bernd Schütt;630009;DFR;2011;2014;2014;2014;2;4;128;2;2;5;0;FRG_L_Schütt;2011;2014;2014;x
Bernhard Mende;630010;DFR;1986;1989;1994;2014;1;4;0;4;3;5;2;FRG_L_Mende;1986;1997;1997;x
Berthold Maria Schenk Graf von Stauffenberg;630011;DFR;1982;1986;1986;2014;2;4;512;4;2;5;0;FRG_L_Stauffenberg;1982;1987;1987;x
Carl-Helmut Lichel;630012;DFR;1982;1988;2014;2014;2;4;128;4;2;7;0;FRG_L_Lichel;1982;1990;1990;x
Carsten Jacobson;630013;DFR;2006;2009;2014;2014;2;4;0;4;2;5;0;Carsten Jacobson;1974;2012;2012;x
Christian Hellwig;630014;DFR;1992;1996;2014;2014;2;4;128;4;2;5;0;unknownleader;1992;2000;2000;x
Christoph-Adolf Fürus;630015;DFR;1980;1983;2014;2014;2;4;2097152;3;3;5;0;unknownleader;1980;1989;1989;x
Dieter Clauß;630016;DFR;1980;1983;1986;1990;3;7;512;4;2;5;0;FRG_L_Clauss;1980;1993;1993;x
Dieter Franz Braun;630017;DFR;1983;1987;1990;2014;1;6;4069;4;3;5;1;unknownleader;1983;1996;1996;x
Dieter Henninger;630018;DFR;1996;1998;2014;2014;2;4;4194304;2;3;5;0;FRG_L_Henninger;1996;2005;2005;x
Dieter Hülsemann;630019;DFR;1992;1996;2014;2014;2;4;4069;2;3;5;1;unknownleader;1992;1998;1998;x
Dieter Löchel;630020;DFR;1995;2014;2014;2014;2;4;128;2;3;7;0;unknownleader;1995;2002;2002;x
Dieter Stöckmann;630021;DFR;1989;1991;1993;1996;1;6;0;4;2;5;0;Dieter Stöckmann;1989;2002;2002;x
Dieter Wellershoff;630022;DFR;1977;1981;1985;1986;0;7;512;4;2;5;1;Dieter Wellershoff;1977;1991;1991;x
Dirk Horten;630023;DFR;1988;1993;1995;2014;2;6;4069;4;3;5;1;FRG_L_Horten;1988;2000;2000;x
Eberhard Eimler;630024;DFR;1976;1977;1980;1987;3;7;512;4;2;5;2;Eberhard Eimler;1976;1990;1990;x
Eckard Fischer;630025;DFR;1995;2014;2014;2014;1;4;128;3;2;6;0;FRG_L_Fischer;1995;2002;2002;x
Eckard Klewin;630026;DFR;1979;2014;2014;2014;1;4;128;3;2;6;0;FRG_L_Klewin;1979;2004;2004;x
Edgar Trost;630027;DFR;1987;1989;1992;2014;1;6;128;3;2;7;0;FRG_L_Trost;1987;1999;1999;x
Egon Ramms;630028;DFR;1996;2000;2004;2007;3;6;0;4;2;5;0;Egon Ramms;1996;2014;2014;x
Ekkehard Richter;630029;DFR;1983;2014;2014;2014;3;4;128;3;1;5;0;FRG_L_Richter;1983;1998;1998;x
Erhard Drews;630030;DFR;2005;2010;2014;2014;2;4;0;3;3;5;0;unknownleader;2005;2013;2013;x
Erhard Bühler;630031;DFR;2003;2008;2010;2013;2;6;0;4;2;5;0;Erhard Bühler;2003;2014;2014;x
Erich Pfeffer;630032;DFR;2007;2011;2013;2014;2;6;4194304;3;3;5;0;FRG_L_Pfeffer;2007;2014;2014;x
Ernst Klaffus;630033;DFR;1980;1985;1990;2014;1;6;128;3;3;5;0;unknownleader;1980;1994;1994;x
Ernst Lissinna;630034;DFR;1988;1991;2014;2014;3;4;128;4;2;6;0;unknownleader;1988;1999;1999;x
Frank Ropers;630035;DFR;1994;1998;2001;2014;1;6;4069;4;2;6;1;FRG_L_Ropers;1994;2008;2008;x
Franz Werner;630036;DFR;1983;1990;2014;2014;2;4;4194304;3;2;6;0;unknownleader;1983;1998;1998;x
Friedrich Remde;630037;DFR;1980;1985;2014;2014;2;4;4069;3;2;6;1;unknownleader;1980;1989;1989;x
Friedrich Riechmann;630038;DFR;1992;1998;2000;2014;2;6;2097152;3;3;5;0;FRG_L_Riechmann;1992;2002;2002;x
Friedrich Wilhelm Ploeger;630039;DFR;1999;2000;2007;2014;2;6;8192;3;2;5;2;FRG_L_Ploeger;1999;2013;2013;x
Fritz Eckert;630040;DFR;1985;2014;2014;2014;1;4;2097152;2;2;5;0;unknownleader;1985;1996;1996;x
Georg Bernhardt;630041;DFR;1985;1988;1992;2014;2;5;2097152;2;2;5;0;unknownleader;1985;1997;1997;x
Gerd Schultze-Rhonhof;630042;DFR;1989;1991;2014;2014;3;4;0;2;1;3;0;FRG_L_Schultze-Rhonhof;1989;1996;1996;x
Gerhard Brugmann;630043;DFR;1980;1985;2014;2014;2;4;128;3;3;5;0;FRG_L_Brugmann;1980;1991;1991;x
Gerhard W. Back;630044;DFR;1992;1994;1999;2004;0;6;8192;4;2;5;2;FRG_L_Back;1992;2007;2007;x
Gerhard Wachter;630045;DFR;1977;1980;1982;2014;1;6;128;4;3;5;0;unknownleader;1977;1986;1986;x
Gert Gudera;630046;DFR;1993;1996;2000;2014;2;5;1;4;3;5;0;FRG_L_Gudera;1993;2004;2004;x
Gert Verstl;630047;DFR;1983;1986;1989;2014;2;4;128;4;3;5;0;FRG_L_Verstl;1983;1996;1996;x
Gottfried Hoch;630048;DFR;2001;2014;2014;2014;1;3;0;4;3;5;1;FRG_L_Hoch;2001;2008;2008;x
Götz Gliemeroth;630049;DFR;1989;1994;2000;2014;2;4;128;4;3;5;0;FRG_L_Gliemeroth;1989;2004;2004;x
Günter Weiler;630050;DFR;1999;2005;2006;2014;2;4;0;4;2;5;0;Günter Weiler;1999;2014;2014;x
Günter Roth;630051;DFR;1985;2014;2014;2014;1;2;2097152;3;2;5;0;unknownleader;1985;1996;1996;x
Hans Frank;630052;DFR;1989;1992;1994;2014;1;4;0;4;3;5;2;FRG_L_Frank;1989;1999;1999;x
Hans Grillmeier;630053;DFR;1980;1986;2014;2014;2;4;128;4;2;5;0;FRG_L_Grillmeier;1980;1991;1991;x
Hans Lüssow;630054;DFR;1993;1994;1998;2014;1;4;1024;4;3;5;1;FRG_L_Lüssow;1993;2007;2007;x
Hans-Georg Atzinger;630055;DFR;1994;2014;2014;2014;1;3;128;2;2;5;0;unknownleader;1994;2014;2014;x
Hans-Henning von Sandrart;630056;DFR;1977;1980;1983;1987;0;7;512;4;2;5;0;FRG8;1977;1991;1991;x
Hans-Joachim Mack;630057;DFR;1975;1978;1983;1984;0;7;512;4;2;5;0;Hans-Joachim Mack;1975;1987;1987;x
Hans-Joachim Mann;630058;DFR;1981;1983;1985;2014;1;4;4069;4;3;5;1;unknownleader;1981;2001;2001;x
Hansjörn Boes;630059;DFR;1981;1986;1991;2014;2;4;128;6;3;5;0;unknownleader;1981;1997;1997;x
Hans-Lothar Domröse;630060;DFR;2003;2006;2009;2012;0;7;0;2;2;5;0;Hans-Lothar Domröse;2003;2014;2014;x
Hans-Peter Tandecki;630061;DFR;1979;1980;1984;2014;3;4;0;4;2;5;2;FRG_L_Tandecki;1979;1993;1993;x
Hans-Peter von Kirchbach;630062;DFR;1988;1990;1998;1999;0;6;268435456;4;2;5;0;FRG_L_Kirchbach;1988;2000;2000;x
Hans-Rudolf Boehmer;630063;DFR;1988;1990;1993;2014;1;4;4069;4;3;6;1;FRG_L_Boehmer;1988;1998;1998;x
Harald Kujat;630064;DFR;1992;1995;1998;2000;1;6;4069;4;2;5;2;Harald Kujat;1992;2005;2005;x
Hartmut Bagger;630065;DFR;1990;1992;1994;1996;2;6;0;4;2;5;0;Hartmut Bagger;1990;2014;2014;x
Hartmut Behrendt;630066;DFR;1983;1985;2014;2014;2;4;16;4;4;6;0;unknownleader;1983;2000;2000;x
Hartmut Foertsch;630067;DFR;1981;1986;2014;2014;1;3;128;3;2;5;0;FRG_L_Foertsch;1981;1993;1993;x
Hartmut Moede;630068;DFR;1993;1995;1999;2014;1;4;0;4;3;5;2;unknownleader;1993;1999;1999;x
Hein-Peter Weyher;630069;DFR;1978;1985;1988;2014;1;4;2048;4;3;5;1;FRG_L_Weyher;1978;1995;1995;x
Heinz-Peter Dicks;630070;DFR;1997;2014;2014;2014;1;3;0;3;3;5;2;unknownleader;1997;2014;2014;x
Helge Hansen;630071;DFR;1982;1989;1991;1994;3;6;0;4;2;5;0;Helge Hansen;1982;1998;1998;x
Helmut Willmann;630072;DFR;1985;1990;1993;2014;1;5;33554432;3;3;5;0;FRG_L_Willmann;1985;2001;2001;x
Henning Brümmer;630073;DFR;1990;2014;2014;2014;1;4;128;3;2;5;0;FRG_L_Brümmer;1990;2002;2002;x
Henning von Ondarza;630074;DFR;1979;1983;1985;1987;3;6;512;4;2;5;0;FRG_L_Ondarza;1979;1994;1994;x
Henribert Göttelmann;630075;DFR;1990;1994;2014;2014;2;4;128;3;2;5;0;unknownleader;1990;1997;1997;x
Holger Kammerhoff;630076;DFR;1992;1996;2000;2014;1;5;4;3;2;5;0;FRG_L_Kammerhoff;1992;2006;2006;x
Horst Albrecht;630077;DFR;1980;1983;2014;2014;2;4;128;3;3;5;0;unknownleader;1980;1994;1994;x
Horst Förster;630078;DFR;1996;2000;2014;2014;2;4;128;4;2;5;0;FRG_L_Förster;1996;2000;2000;x
Horst Jungkurth;630079;DFR;1977;1979;1985;2014;1;4;4069;4;3;5;2;FRG_L_Jungkurth;1977;1991;1991;x
Horst Netzler;630080;DFR;1980;1983;2014;2014;2;4;4194304;3;3;5;0;unknownleader;1980;1986;1986;x
Horst-Dieter Kolletschke;630081;DFR;2010;2012;2014;2014;2;4;0;4;2;5;1;Horst-Dieter Kolletschke;2010;2014;2014;x
Hubertus Senff;630082;DFR;1984;1987;2014;2014;2;4;8;3;3;5;0;unknownleader;1984;1996;1996;x
Jan Oerding;630083;DFR;1998;2001;2005;2014;3;4;4;3;3;5;0;unknownleader;1998;2008;2008;x
Joachim Spiering;630084;DFR;1987;1993;1994;1998;0;6;1;4;1;5;0;FRG_L_Spierig;1987;2001;2001;x
