Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Mikhail Zaycev;1;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1985;2012;x
Pyotr Lushev;122;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1985;2012;x
Mikhail Sorokin;983;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1985;2012;x
Shabanov Vitaliy;998;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1985;2012;x
Yuriy Maksimov;999;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1985;2012;x
Dmitry Sukhorukov;1119;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1985;2012;x
Vitaly Fedorchuk;1193;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1985;2012;x
Valery Belikov;1306;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1985;2012;x
Viktor Cherbikov;1361;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1985;2012;x
Dmitry Yazov;1512;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1985;2012;x
Fedot Krivda;1528;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1985;2012;x
Nikolay Emohonov;1529;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1985;2012;x
Aleksey Lizichev;1530;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1986;2012;x
Ivan Voloshin;1531;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1986;2012;x
Stanislav Postnikov;1532;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1986;2012;x
Philip Bobkov;1533;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1987;2012;x
Vladimir Kryuchkov;1534;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1988;2012;x
Vladimir Arkhipov;1535;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1988;2012;x
Boris Snetkov;1536;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1986;2012;x
Nikolay Popov;1537;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1988;2012;x
Konstantin Kochetov;1538;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1988;2012;x
Anatoly Betekhtin;1539;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1985;2012;x
Vladimir Lobov;1540;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1989;2012;x
Mikhail Moiseyev;1541;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1989;2012;x
Vladimir Shuralev;1542;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1989;2012;x
Makhmud Gareev;1543;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1989;2012;x
Vladlen Mikhailov;1544;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1990;2012;x
Nikolai Grachev;1545;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1991;2012;x
Viktor Ermakov;1546;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1991;2012;x
Yuriy Yashin;1547;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1991;2012;x
Konstantin Kobets;1548;SOV;1930;1990;1990;1990;;0;0;0;0;0;;;1991;2012;x
