Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Alberto Venâncio;160001;BRA;1943;1990;1990;1990;3;4;1;0;0;3;0;L31000;1943;2012;2012;x
Alvés Marinho;160002;BRA;1930;1930;1941;1990;1;4;0;1;0;5;0;L31001;1930;2012;2012;x
Aurélio de Monteiro;160003;BRA;1930;1930;1990;1990;2;4;514;1;0;5;0;L31002;1930;2012;2012;x
Barata de Azevedo;160004;BRA;1930;1938;1990;1990;2;5;1;1;0;4;0;L31003;1930;2012;2012;x
Barbosa;160005;BRA;1939;1990;1990;1990;3;6;256;0;0;4;0;L31004;1939;2012;2012;x
Borges da Fonseca Neto;160006;BRA;1944;1990;1990;1990;3;5;1;0;0;5;0;L31005;1944;2012;2012;x
Cardoso;160007;BRA;1938;1943;1990;1990;2;4;1;1;0;4;0;L31006;1938;2012;2012;x
Cassiano;160008;BRA;1945;1990;1990;1990;3;4;0;0;0;3;0;L31007;1945;2012;2012;x
Castello Branca;160009;BRA;1940;1942;1990;1990;2;6;4;1;0;4;0;L31008;1940;2012;2012;x
Chadavec de Lavalade;160010;BRA;1930;1930;1990;1990;2;4;0;0;0;5;0;L31009;1930;2012;2012;x
Coelho Neto;160011;BRA;1937;1944;1990;1990;3;6;128;1;0;4;0;L31010;1937;2012;2012;x
Cordeiro de Farias;160012;BRA;1930;1940;1942;1990;1;6;1;2;0;5;0;L31011;1930;2012;2012;x
Costa é Silva;160013;BRA;1942;1947;1949;1951;1;6;4;3;0;5;0;L31012;1942;2012;2012;x
d'Alincourt Fonseca;160014;BRA;1930;1930;1990;1990;2;5;2;0;0;5;0;L31013;1930;2012;2012;x
da Gama Leirós;160015;BRA;1937;1942;1990;1990;2;4;128;1;0;4;0;L31014;1937;2012;2012;x
da Silva;160016;BRA;1930;1938;1990;1990;2;5;544;2;0;5;0;L31015;1930;2012;2012;x
de Assis;160017;BRA;1938;1941;1943;1990;2;6;2;2;0;5;0;L31016;1938;2012;2012;x
de Souza Dantas de Melo;160018;BRA;1930;1990;1990;1990;3;4;0;0;0;3;0;L31017;1930;2012;2012;x
Dilermando de Assis;160019;BRA;1930;1939;1990;1990;2;4;0;1;0;5;0;L31018;1930;2012;2012;x
do Nascimento;160020;BRA;1941;1990;1990;1990;3;6;16;0;0;3;0;L31019;1941;2012;2012;x
do Nascimento Lins;160021;BRA;1930;1990;1990;1990;3;4;0;0;0;5;0;L31020;1930;2012;2012;x
dos Santos;160022;BRA;1938;1945;1990;1990;3;5;256;1;0;3;0;L31021;1938;2012;2012;x
Falconeiro da Cunha;160023;BRA;1941;1990;1990;1990;3;4;0;0;0;4;0;L31022;1941;2012;2012;x
Fernandes da Silva;160024;BRA;1938;1942;1990;1990;2;4;256;1;0;5;0;L31023;1938;2012;2012;x
Figueiredo;160025;BRA;1937;1941;1990;1990;2;6;0;0;0;3;0;L31024;1937;2012;2012;x
Fiuza de Castro;160026;BRA;1938;1941;1990;1990;2;6;4;1;0;5;0;L31025;1938;2012;2012;x
Floriano de Lima Brayner;160027;BRA;1939;1990;1990;1990;3;6;4;1;0;5;0;L31026;1939;2012;2012;x
Gaspar Dutra;160028;BRA;1930;1930;1930;1930;0;6;0;2;0;4;0;L31027;1930;2012;2012;x
