POR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
13400;National Military Academy;poracademy;6;1000;2999;combined_arms_focus;infantry_focus;individual_courage;artillery;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13401;INDEP;indep;5;1000;2999;general_equipment;mechanics;artillery;training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13402;Bravia Sarl;braviasarl;5;1000;2999;mechanics;general_equipment;vehicle_engineering;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13403;OGMA;ogma;4;1000;2999;aeronautics;avionics;piloting;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13404;SIS;porsis;6;1000;2999;mathematics;rocketry;management;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13405;UMM;umm;5;1000;2999;industrial_engineering;electronics;management;mathematics;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13406;EID;poreid;5;1000;2999;electronics;rocketry;management;mathematics;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13407;Portuguese Army;T13414;6;1000;2999;training;management;large_unit_focus;small_unit_tactics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13408;Portuguese Air Force;T13415;6;1000;2999;fighter_tactics;bomber_tactics;piloting;aeronautics;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13408;Portuguese Navy;T13416;6;1000;2999;naval_training;seamanship;naval_engineering;management;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
