PRK;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
12100;National Military Academy;nkacademy;4;1000;2999;combined_arms_focus;infantry_focus;individual_courage;artillery;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12101;2nd Machine Group;chonmaho;5;1000;2999;general_equipment;mechanics;artillery;training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12102;National Intelligence Agency;nkintel;5;1000;2999;mathematics;management;individual_courage;small_unit_tactics;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12103;General Machinery Corporation;gmcorpnk;5;1000;2999;industrial_engineering;electronics;management;mathematics;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12104;Industrial Technology Corporation;nkindcorptech;3;1000;2999;management;chemistry;industrial_engineering;mathematics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12105;Korean People's Army;kparmy;5;1000;2999;training;large_unit_tactics;small_unit_tactics;large_unit_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12106;General Staff;nkgstaff;5;1000;2999;training;management;large_unit_focus;small_unit_tactics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12107;Logistics Department;ukrlogistics;5;1000;2999;centralized_execution;management;small_unit_tactics;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12108;DPRK Air Force;dprkairforce;4;1000;2999;fighter_tactics;bomber_tactics;piloting;avionics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12109;Korean People's Navy;kpnavy;2;1000;2999;large_taskforce_tactics;naval_artillery;naval_training;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12110;National Shipbuilding Corp;nkshipbuilding;2;1000;2999;naval_artillery;naval_engineering;small_taskforce_tactics;seamanship;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12111;Yongbyon Nuclear Research Center;yongbyon;4;1000;2999;nuclear_engineering;nuclear_physics;mathematics;general_equipment;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12112;Artillery Guidance Bureau;artguidb;3;1000;2999;rocketry;management;avionics;electronics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
