ENG;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
17400;Sandhurst Royal Military Academy;sandhurst;8;1000;2999;combined_arms_focus;infantry_focus;individual_courage;training;large_unit_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17401;BAE Land Systems;BAEland;8;1000;2999;mechanics;industrial_engineering;electronics;training;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17402;GKN Sankey;gknsankey;6;1000;2999;mechanics;management;training;industrial_engineering;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17403;BAE Ordnance & Munitions;BAEordnance;7;1000;2999;general_equipment;artillery;technical_efficiency;munitions;large_unit_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17404;AgustaWestland;agustawestland;8;1000;2999;technical_efficiency;avionics;combined_arms_focus;aircraft_testing;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17405;BAE Aerospace;BAEaerospace;8;1000;2999;aeronautics;avionics;technical_efficiency;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17406;Defence Intelligence Staff;DIStaff;9;1000;2999;mathematics;training;management;technical_efficiency;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17407;Smiths Group;smithsgroup;7;1000;2999;industrial_engineering;small_unit_tactics;general_equipment;management;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17408;QinetiQ;qinetiq;8;1000;2999;industrial_engineering;rocketry;chemistry;avionics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17409;BAE Electronics;BAEelectronics;9;1000;2999;chemistry;electronics;management;mathematics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17410;MBDA;mbdamissile;8;1000;2999;management;avionics;electronics;rocketry;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17411;Thales;thaleseng;8;1000;2999;management;electronics;rocketry;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17412;UKAEA;UKAEA;5;1000;2999;nuclear_engineering;nuclear_physics;nuclear_engineering;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17413;Atomic Weapons Establishment;aweaponsest;5;1000;2999;nuclear_physics;management;training;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17414;British National Space Centre;britishspace;6;1000;2999;electronics;rocketry;aeronautics;avionics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17415;British Army;britisharmy;7;1000;2999;training;large_unit_tactics;small_unit_tactics;large_unit_focus;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17416;Royal Marines;royalmarines;9;1000;2999;decentralized_execution;small_unit_tactics;individual_courage;training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17417;Permanent Joint HQ;pjhq;8;1000;2999;training;management;general_equipment;centralized_execution;maneuver_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17418;RAF;royalairforce;8;1000;2999;fighter_tactics;bomber_tactics;piloting;aeronautics;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17419;Fleet Air Arm;fleetairarm;8;1000;2999;aircraft_testing;naval_training;carrier_design;piloting;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17420;Royal Navy;royalnavy;9;1000;2999;carrier_tactics;large_taskforce_tactics;submarine_tactics;naval_engineering;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17421;BVT Surface Fleet;bvtsurface;9;1000;2999;small_taskforce_tactics;naval_artillery;submarine_tactics;naval_engineering;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17422;Swan Hunter;swanhunter;7;1000;2999;naval_artillery;naval_engineering;small_taskforce_tactics;seamanship;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17423;BAE Submarine Solutions;baesubmarine;7;1000;2999;submarine_tactics;naval_engineering;submarine_design;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17424;Royal Fleet Auxiliary;rnaux;7;1000;2999;naval_training;seamanship;naval_engineering;management;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17425;Submarine Command;rnsubmarine;5;1000;2999;seamanship;management;large_taskforce_tactics;naval_engineering;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
