PHI;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
6900;Philippines Military Academy;philacademy;5;1000;2999;combined_arms_focus;infantry_focus;individual_courage;artillery;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6901;Ferfrans;Ferfrans;5;1000;2999;general_equipment;mechanics;artillery;training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6902;Floro International;floro;5;1000;2999;mechanics;general_equipment;vehicle_engineering;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6903;Aviation Composite Technology;Apache 1;4;1000;2999;aeronautics;avionics;piloting;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6904;Military Intelligence Group;team_noimage;6;1000;2999;mathematics;management;individual_courage;small_unit_tactics;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6905;PNCC;pncc;6;1000;2999;industrial_engineering;electronics;management;mathematics;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6906;Integrated Microelectronics;IMI;6;1000;2999;chemistry;electronics;mathematics;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6907;Philippine Army;Philippine Army;5;1000;2999;training;large_unit_tactics;small_unit_tactics;large_unit_focus;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6908;Marine Corps;philmarines;5;1000;2999;decentralized_execution;small_taskforce_tactics;large_unit_focus;artillery;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6909;Philippine Air Force;Philippine Air Force;5;1000;2999;fighter_tactics;bomber_tactics;piloting;aeronautics;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6910;Philippine Navy;Philippine Navy;5;1000;2999;large_taskforce_tactics;naval_artillery;naval_training;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
