GRE;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
6400;Evelpidon Military Academy;greacademy;6;1000;2999;combined_arms_focus;infantry_focus;management;technical_efficiency;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6401;EBO;greebo;6;1000;2999;general_equipment;industrial_engineering;management;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6402;ELBO;elbo;6;1000;2999;mechanics;vehicle_engineering;management;industrial_engineering;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6403;Hellenic Aerospace Industries;helai;4;1000;2999;aeronautics;avionics;piloting;fighter_design;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6404;National Intelligence Service;greintel;6;1000;2999;mathematics;individual_courage;small_unit_tactics;management;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6405;Delta Projects;team_noimage;6;1000;2999;industrial_engineering;mathematics;large_taskforce_tactics;general_equipment;static_defense_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6406;Pyrkal;pyrkal;5;1000;2999;management;electronics;chemistry;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6407;Greek Army;grearmy;6;1000;2999;training;large_unit_tactics;small_unit_tactics;large_unit_focus;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6408;General Staff;grestaff;6;1000;2999;training;management;small_unit_tactics;large_unit_focus;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6409;Greek Air Force;greairforce;6;1000;2999;fighter_tactics;bomber_tactics;avionics;aeronautics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6410;Greek Navy;grenavy;6;1000;2999;naval_training;seamanship;large_taskforce_tactics;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6411;Hellenic Shipyard;Hellenicship;5;1000;2999;naval_artillery;naval_engineering;seamanship;munitions;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
