U10;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
865001;Werker Coöperatieve voor Geschut ontwikkeling;T2300;4;1945;2012;artillery;chemistry;general_equipment;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865002;Volk Tuighuis;T2301;5;1945;2012;mechanics;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865003;Werker Coöperatieve voor Wapening;T2303;5;1945;2012;mechanics;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865004;Koninklijke Maatschappij;T2304;5;1945;2012;naval_engineering;electronics;technical_efficiency;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865005;Volk Aeronautic Werkje Vereniging;T2305;6;1945;2012;aeronautics;technical_efficiency;electronics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865006;Werker Vereniging Shell;T2307;7;1945;2012;industrial_engineering;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865007;Volk Scheeps-Yard;T2308;6;1945;2012;naval_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865008;Nederlands Volk Legermacht;T2309;4;1945;2012;infantry_focus;centralized_execution;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865009;Nederlands Volk Draagvlak;T2311;4;1945;2012;fighter_tactics;training;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865010;Werker Vereniging Philips;100157;7;1945;2012;electronics;mathematics;technical_efficiency;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865011;Gerben Wagenaar;100354;5;1945;2012;decentralized_execution;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865012;Anton Pannekoek;100355;4;1945;2012;technical_efficiency;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865013;Luchtvaart Maatschappij;100356;3;1945;2012;fighter_tactics;training;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865014;Dok Nederlandsche Maatschappij;100357;5;1945;2012;naval_engineering;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865015;Henk Gortzak;100358;5;1945;2012;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865016;Jacob Bransteder;100359;4;1945;2012;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
865017;Wetenschappelijke Onderzoekers;100360;3;1945;2012;mechanics;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
