U69;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1160001;Armas Mendoza;100571;5;1945;2012;artillery;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1160002;Compañía Nacional de Dinamita y Explosivos;100647;4;1945;2012;artillery;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1160003;Boston Mexican Petroleum;100648;4;1945;2012;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1160004;Banco Central Mexicano;100572;4;1945;2012;management;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1160005;American Smelting and Refining Mexico;100573;4;1945;2012;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1160006;Fundidora de Hierro y Acero de Monterrey;100574;5;1945;2012;industrial_engineering;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1160007;Société Financiere pour I'Industrie au Méxique;TEAM_NOIMAGE;5;1945;2012;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1160008;Cananea Consolidated Cooper Company;100575;5;1945;2012;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1160009;Compañía Mexicana de Petróleo El Aguila;100576;4;1945;2012;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1160010;Ferrocarriles Nacionales de México;100577;4;1945;2012;mechanics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1160011;Talleres Balbuena ;100578;3;1945;2012;aeronautics;aircraft_testing;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1160012;Manuel Palafox;100579;3;1945;2012;small_taskforce_tactics;infantry_focus;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1160013;Universidad Nacional de Mexico;100580;5;1945;2012;mathematics;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
