CUB;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
300;Havana Military Academy;cubanacademy;3;1000;2999;combined_arms_focus;infantry_focus;individual_courage;training;large_unit_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
301;DGI;unknown_techteam;3;1000;2999;mathematics;rocketry;management;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
302;State Factories;cubanfactory;3;1000;2999;industrial_engineering;electronics;management;mathematics;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
303;Cuban Army;cubanarmy;3;1000;2999;training;large_unit_tactics;large_unit_focus;centralized_execution;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
304;Cuban Air Force;cubanairforce;3;1000;2999;fighter_tactics;bomber_tactics;piloting;avionics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
305;Cuban Navy;cubannavy;2;1000;2999;large_taskforce_tactics;naval_training;seamanship;submarine_tactics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
306;Center for Genetic Eng. & Biotech.;Center for Genetic Engineering & Biotechnology;7;1985;2012;medicine;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
307;Unión de la Industria Militar;Unión de la Industria Militar;5;1985;2012;munitions;industrial_engineering;general_equipment;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
308;Cupet;Cupet;4;1985;2012;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
309;Havana Shipyards;Havana Shipyards;3;1985;2012;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
310;Marina de Guerra Revolucionaria;Marina de Guerra Revolucionaria;4;1985;2012;small_taskforce_tactics;seamanship;naval_training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
311;Defensa Anti-Aérea Y Fuerza Aérea Revolucionaria;Defensa Anti-Aérea Y Fuerza Aérea Revolucionaria;6;1985;2012;aircraft_testing;fighter_tactics;combined_arms_focus;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
312;Cuban Land Army;unknown_techteam;6;1985;2012;combined_arms_focus;large_unit_focus;small_unit_tactics;training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
313;Ministry of Basic Industry;Ministry of Basic Industry;4;1985;2012;management;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
