U35;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
990001;CASA;T3900;3;1945;2012;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
990002;CROS, SA;T3101;2;1945;2012;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
990003;Esperanza & Unceta;100106;4;1945;2012;artillery;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
990004;Fábrica de Armas de Trubia;100319;4;1945;2012;mechanics;artillery;general_equipment;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
990005;José Miaja Menant;T3905;4;1945;2012;infantry_focus;large_unit_tactics;centralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
990006;Líster Forján;T3907;4;1945;2012;infantry_focus;small_unit_tactics;training;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
990007;Mendiola Núñez;T3908;5;1945;2012;training;bomber_tactics;piloting;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
990008;Rojo Lluch;T3909;5;1945;2012;infantry_focus;large_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
990009;Hispano-Suiza;T3910;5;1945;2012;technical_efficiency;electronics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
990010;Centro de Estudios Químicos;T3911;4;1945;2012;nuclear_physics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
990011;SECN;T3912;5;1945;2012;naval_engineering;naval_artillery;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
990012;Puig Adam;T3913;4;1945;2012;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
990013;González Ubieta;T3915;3;1945;2012;naval_training;large_taskforce_tactics;seamanship;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
990014;Hidalgo de Cisneros;T3916;5;1945;2012;training;fighter_tactics;bomber_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
990015;Compañía Española de Petróleos, SA;100323;4;1945;2012;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
