YUG;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
100001;Ðuro Ðakoviæ Slavonski Brod;Duro Dakovic;6;1985;2012;vehicle_engineering;mechanics;technical_efficiency;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100002;Pliva;Pliva;7;1985;2012;chemistry;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100003;VTI Žarkovo;VTI Žarkovo;5;1985;2012;avionics;aeronautics;fighter_design;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100004;Vladimir Prelog;Vladimir Prelog;6;1985;2012;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100005;TAM;TAM;5;1985;2012;mechanics;vehicle_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100006;Vojnotehnicki Institut Beograd;Vojnotehnicki Institut Beograd;6;1985;2012;rocketry;artillery;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100007;Zastava Oružje Kragujevac;Zastava Oružje Kragujevac;7;1985;2012;general_equipment;munitions;rt_user_5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100008;Fabrika aviona SOKO;Fabrika aviona SOKO;4;1985;2012;aeronautics;rocketry;piloting;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100009;Uljanik;Uljanik;4;1985;2012;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100010;Industrogradnja;Industrogradnja;5;1985;2012;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100011;Mostogradnja;Mostogradnja;5;1985;2012;technical_efficiency;management;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100012;Energoprojekt;Energoprojekt;5;1985;2012;industrial_engineering;management;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100013;Narodna Banka Jugoslavije;Narodna Banka Jugoslavije;3;1985;2012;management;mathematics;rt_user_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100014;Naftagas;Naftagas;4;1985;2012;management;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100015;INA;INA;5;1985;2012;chemistry;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100016;Territorial Defense;Territorial Defense;4;1985;2012;decentralized_execution;large_unit_tactics;training;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100017;Kopnena Vojska;Kopnena Vojska;5;1985;2012;mountain_training;training;combined_arms_focus;artillery;individual_courage;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100018;Air Force and Anti-Air Defense;Air Force and Air Defense;4;1985;2012;fighter_tactics;training;piloting;aeronautics;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
100019;Ratna Mornarica;Ratna Mornarica;4;1985;2012;naval_training;submarine_tactics;marine_training;small_taskforce_tactics;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
