UKR;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
17200;National Military Academy;ukracademy;5;1000;2999;combined_arms_focus;infantry_focus;individual_courage;artillery;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17201;KMDB;KMDBukr;8;1000;2999;general_equipment;mechanics;artillery;training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17202;Malyshev Plant;Malyshev;8;1000;2999;mechanics;general_equipment;vehicle_engineering;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17203;Antonov;Antonov;7;1000;2999;aeronautics;avionics;piloting;fighter_tactics;bomber_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17204;HUR;hurukraine;7;1000;2999;mathematics;management;individual_courage;small_unit_tactics;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17205;Kiev Arsenal;Kiev Arsenal;6;1000;2999;management;technical_efficiency;industrial_engineering;munitions;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17206;Kryvorizhstal;kryvorizhstal;6;1000;2999;industrial_engineering;small_unit_tactics;general_equipment;management;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17207;Ukrainian Automobile Corporation;ukravto;6;1000;2999;industrial_engineering;rocketry;chemistry;avionics;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17208;Ukrainian Army;Ukrainian Army;5;1000;2999;training;large_unit_tactics;small_unit_tactics;large_unit_focus;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17209;Marine Corps;ukrmarine;6;1000;2999;decentralized_execution;small_unit_tactics;individual_courage;training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17210;Airmobile Forces;ukrairmobile;6;1000;2999;small_unit_tactics;airborne_training;blitzkrieg_tactics;mountain_training;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17211;General Staff;ukrgstaff;5;1000;2999;training;management;general_equipment;centralized_execution;maneuver_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17212;Logistics Department;ukrlogistics;5;1000;2999;centralized_execution;management;seamanship;general_equipment;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17213;Ukrainian Air Force;Ukrainian Air Force;5;1000;2999;fighter_tactics;bomber_tactics;piloting;avionics;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17214;Yuzhnoye Design Bureau;yuzhnoye;7;1000;2999;rocketry;electronics;mathematics;industrial_engineering;aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17215;Nikolaev Shipyard;nikolaevship;6;1000;2099;naval_engineering;naval_artillery;small_taskforce_tactics;technical_efficiency;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17216;Ukrainian Navy;ukrnavy;6;1000;2999;naval_training;management;mathematics;combined_arms_focus;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
